transaction_id,customer_id,date,amount,category,province,tier,is_anomaly
TXN04249,CUST0355,2023-01-01,474.73,Groceries,Gauteng,high,False
TXN01468,CUST0127,2023-01-01,685.86,Clothing,Eastern Cape,mid,False
TXN01858,CUST0160,2023-01-01,4727.44,Furniture,KwaZulu-Natal,mid,False
TXN00006,CUST0001,2023-01-01,455.5,Health & Beauty,Gauteng,high,False
TXN02754,CUST0230,2023-01-01,367.91,Groceries,KwaZulu-Natal,mid,False
TXN02449,CUST0205,2023-01-02,1615.0,Sports,Western Cape,high,False
TXN03581,CUST0295,2023-01-02,4950.94,Electronics,Gauteng,high,False
TXN00276,CUST0023,2023-01-02,3763.67,Electronics,Gauteng,high,False
TXN01599,CUST0142,2023-01-02,520.46,Sports,Gauteng,mid,False
TXN00910,CUST0068,2023-01-03,148.01,Tools,Eastern Cape,low,False
TXN02316,CUST0198,2023-01-03,405.3,Groceries,Eastern Cape,mid,False
TXN03062,CUST0251,2023-01-03,8277.35,Furniture,Gauteng,high,False
TXN04610,CUST0385,2023-01-03,380.17,Tools,KwaZulu-Natal,mid,False
TXN00962,CUST0073,2023-01-03,1268.47,Tools,Gauteng,high,False
TXN00710,CUST0053,2023-01-03,3569.95,Furniture,Limpopo,mid,False
TXN02337,CUST0200,2023-01-03,246.84,Stationery,KwaZulu-Natal,high,False
TXN00261,CUST0022,2023-01-03,78.7,Stationery,Gauteng,low,False
TXN00805,CUST0059,2023-01-04,237.2,Groceries,Gauteng,high,False
TXN02570,CUST0214,2023-01-04,1964.8,Tools,Gauteng,high,False
TXN00052,CUST0005,2023-01-04,572.9,Clothing,Gauteng,mid,False
TXN04356,CUST0364,2023-01-05,105.35,Health & Beauty,Western Cape,low,False
TXN02899,CUST0240,2023-01-05,111.28,Stationery,Gauteng,mid,False
TXN03238,CUST0265,2023-01-05,1052.5,Clothing,Eastern Cape,high,False
TXN03646,CUST0299,2023-01-05,297.3,Health & Beauty,KwaZulu-Natal,mid,False
TXN00751,CUST0056,2023-01-05,2965.04,Furniture,Limpopo,mid,False
TXN01112,CUST0087,2023-01-06,723.12,Groceries,KwaZulu-Natal,high,False
TXN03393,CUST0277,2023-01-06,256.85,Stationery,KwaZulu-Natal,high,False
TXN02070,CUST0180,2023-01-06,6491.43,Furniture,Gauteng,mid,False
TXN03027,CUST0248,2023-01-06,110.93,Stationery,Limpopo,mid,False
TXN01184,CUST0094,2023-01-06,418.67,Sports,Western Cape,mid,False
TXN01838,CUST0158,2023-01-06,210.13,Stationery,KwaZulu-Natal,high,False
TXN00154,CUST0011,2023-01-07,123.6,Stationery,Gauteng,mid,False
TXN02501,CUST0210,2023-01-07,2320.01,Electronics,Gauteng,mid,False
TXN01445,CUST0122,2023-01-07,228.83,Groceries,Eastern Cape,mid,False
TXN02249,CUST0192,2023-01-07,915.29,Sports,Eastern Cape,mid,False
TXN02050,CUST0179,2023-01-07,1156.45,Tools,Limpopo,mid,False
TXN02047,CUST0179,2023-01-07,393.72,Health & Beauty,Limpopo,mid,False
TXN00038,CUST0003,2023-01-07,420.64,Clothing,KwaZulu-Natal,mid,False
TXN03867,CUST0319,2023-01-08,4430.71,Electronics,Gauteng,high,False
TXN02938,CUST0241,2023-01-08,3359.99,Electronics,Limpopo,high,False
TXN03506,CUST0289,2023-01-08,192.42,Tools,Gauteng,low,False
TXN02900,CUST0241,2023-01-08,3832.31,Electronics,Limpopo,high,False
TXN03353,CUST0274,2023-01-08,388.28,Electronics,Eastern Cape,mid,False
TXN04751,CUST0399,2023-01-08,1538.38,Furniture,KwaZulu-Natal,mid,False
TXN02580,CUST0215,2023-01-08,788.75,Sports,KwaZulu-Natal,low,False
TXN00499,CUST0035,2023-01-08,1532.97,Sports,Limpopo,high,False
TXN01031,CUST0080,2023-01-08,108.81,Stationery,Gauteng,mid,False
TXN01282,CUST0103,2023-01-08,149.36,Stationery,Gauteng,mid,False
TXN02625,CUST0218,2023-01-09,604.9128485843506,Stationery,KwaZulu-Natal,mid,True
TXN02084,CUST0181,2023-01-09,2204.28,Electronics,Gauteng,mid,False
TXN02579,CUST0215,2023-01-09,1073.19,Electronics,KwaZulu-Natal,low,False
TXN02363,CUST0200,2023-01-09,260.63,Stationery,KwaZulu-Natal,high,False
